FAILED No feasible trial completed. Inspect study.trials user_attrs for reasons; adjust the parameter ranges, training budget or explicit constraints.
seconds 71.01159332999987
35 PRUNED {'cpi': 28.764022883271707, 'relative_tail_max_error': 0.03169951647877468, 'command_overshoot': 126.79482885365543, 'command_settling_time': 9.56} {'config.gamma': 0.9433453224392918, 'config.gamma_rls': 0.9974083310600373, 'config.phi_init': 1.8124570692208024, 'config.policy_eval_every': 20}
36 PRUNED {'cpi': 53.58510555687646, 'relative_tail_max_error': 0.18611364069914357, 'command_overshoot': 266.9364307482451, 'command_settling_time': None} {'config.gamma': 0.9355300376897326, 'config.gamma_rls': 0.9907684500305997, 'config.phi_init': 18.507205403190557, 'config.policy_eval_every': 70}
37 PRUNED {'cpi': 27.83575351305255, 'relative_tail_max_error': 0.19648691722591904, 'command_overshoot': 84.2558259158536, 'command_settling_time': None} {'config.gamma': 0.9859019441335706, 'config.gamma_rls': 0.9991541298132461, 'config.phi_init': 1.6397648587364015, 'config.policy_eval_every': 10}
38 PRUNED {'cpi': 32.11712425676735, 'relative_tail_max_error': 0.5218143887494107, 'command_overshoot': 0.0, 'command_settling_time': None} {'config.gamma': 0.9483543613165487, 'config.gamma_rls': 0.9988002623472269, 'config.phi_init': 3.3877928928656518, 'config.policy_eval_every': 40}
39 PRUNED {'cpi': 57.89808530654274, 'relative_tail_max_error': 0.2472830736025448, 'command_overshoot': 281.9061432210922, 'command_settling_time': None} {'config.gamma': 0.9935123562398334, 'config.gamma_rls': 0.9943677807297961, 'config.phi_init': 7.245055866233667, 'config.policy_eval_every': 90}
40 PRUNED {'cpi': 54.79788243678984, 'relative_tail_max_error': 0.026171018618869384, 'command_overshoot': 256.79618298668936, 'command_settling_time': 9.14} {'config.gamma': 0.9070303367436865, 'config.gamma_rls': 0.9912818117555813, 'config.phi_init': 882.0412552481645, 'config.policy_eval_every': 60}
41 PRUNED {'cpi': 16.12636901790612, 'relative_tail_max_error': 0.5055113893964761, 'command_overshoot': 51.177043297750636, 'command_settling_time': None} {'config.gamma': 0.9916659909852731, 'config.gamma_rls': 0.9921253041491744, 'config.phi_init': 1.9118714045834746, 'config.policy_eval_every': 20}
42 PRUNED {'cpi': 25.1465302834261, 'relative_tail_max_error': 0.3446403523863492, 'command_overshoot': 8.71149633264736, 'command_settling_time': 11.98} {'config.gamma': 0.9737811840106837, 'config.gamma_rls': 0.9912342092511978, 'config.phi_init': 6.093315090909156, 'config.policy_eval_every': 30}
43 PRUNED {'cpi': 27.058840902756764, 'relative_tail_max_error': 0.21706493671244975, 'command_overshoot': 85.84985217505643, 'command_settling_time': None} {'config.gamma': 0.998974629903256, 'config.gamma_rls': 0.9929271358410691, 'config.phi_init': 3.535552675479876, 'config.policy_eval_every': 10}
44 PRUNED {'cpi': 36.25583642962458, 'relative_tail_max_error': 0.5704030214001485, 'command_overshoot': 5.970162099178422, 'command_settling_time': None} {'config.gamma': 0.9811377833508212, 'config.gamma_rls': 0.995330164314233, 'config.phi_init': 1.4599970582210362, 'config.policy_eval_every': 40}
45 PRUNED {'cpi': 15.464923870243911, 'relative_tail_max_error': 0.46644976291472007, 'command_overshoot': 47.88553045180177, 'command_settling_time': None} {'config.gamma': 0.9658522883131687, 'config.gamma_rls': 0.9997585960075225, 'config.phi_init': 12.018424614797908, 'config.policy_eval_every': 20}
46 PRUNED {'cpi': 56.995993300856156, 'relative_tail_max_error': 0.08432809356333615, 'command_overshoot': 278.4842056703978, 'command_settling_time': None} {'config.gamma': 0.9771337648638971, 'config.gamma_rls': 0.9918259386952862, 'config.phi_init': 70.27170547345625, 'config.policy_eval_every': 50}
47 PRUNED {'cpi': 11.198680358745444, 'relative_tail_max_error': 0.21816020276605502, 'command_overshoot': 0.0, 'command_settling_time': None} {'config.gamma': 0.986562930862353, 'config.gamma_rls': 0.9907393979790771, 'config.phi_init': 1498.5501125221194, 'config.policy_eval_every': 30}
48 PRUNED {'cpi': 53.23578245624558, 'relative_tail_max_error': 0.22621629073427899, 'command_overshoot': 269.7879960949517, 'command_settling_time': None} {'config.gamma': 0.9613961491852886, 'config.gamma_rls': 0.9963286087896056, 'config.phi_init': 27.49437605236698, 'config.policy_eval_every': 70}
49 PRUNED {'cpi': 453.80179499614184, 'relative_tail_max_error': 7.376873836132083, 'command_overshoot': 1533.3231676671226, 'command_settling_time': None} {'config.gamma': 0.9182952016705463, 'config.gamma_rls': 0.993127016044293, 'config.phi_init': 185.62834359621345, 'config.policy_eval_every': 10}
